Day,Month,Year,date,Subways_Total_Estimated_Ridership,Subways_Percentage_of_Comparable_Pre_Pandemic_Day,Buses_Total_Estimated_Ridership,Buses_Percentage_of_Comparable_Pre_Pandemic_Day,LIRR_Total_Estimated_Ridership,LIRR_Percentage_of_2019_Monthly_Weekday_Saturday_Sunday_Average,Metro_North_Total_Estimated_Ridership,Metro_North_Percentage_of_2019_Monthly_Weekday_Saturday_Sunday_Average,Access_A_Ride_Total_Scheduled_Trips,Access_A_Ride_Percentage_of_Comprable_Pre_Pandemic_Day,Bridges_and_Tunnels_Total_Traffic,Bridges_and_Tunnels_Percentage_of_Comparable_Pre_Pandemic_Day
2,4,2020,4/2/2020,486468,0.082,472700,0.2,"10,100",0.03,"13,700",0.05,"7,077",0.225,"339,734",0.348
1,4,2020,4/1/2020,514201,0.087,495400,0.21,"10,500",0.03,"13,600",0.05,"8,151",0.252,"342,222",0.367
31,3,2020,3/31/2020,509149,0.088,514300,0.22,,,,,"7,672",0.257,"337,626",0.373
30,3,2020,3/30/2020,546355,0.098,563900,0.25,,,,,"8,084",0.283,"344,690",0.384
29,3,2020,3/29/2020,264119,0.117,306800,0.31,,,,,"3,374",0.194,"197,154",0.242
28,3,2020,3/28/2020,332993,0.102,403700,0.29,,,,,"4,491",0.26,"240,702",0.259
27,3,2020,3/27/2020,658312,0.118,641800,0.29,,,,,"8,409",0.294,"396,778",0.402
26,3,2020,3/26/2020,681923,0.118,646100,0.28,,,,,"8,795",0.288,"390,117",0.403
25,3,2020,3/25/2020,691604,0.121,618000,0.27,,,,,"9,512",0.302,"375,767",0.406
24,3,2020,3/24/2020,743314,0.131,657800,0.28,,,,,"9,133",0.301,"395,493",0.437
23,3,2020,3/23/2020,711138,0.131,578200,0.26,,,,,"9,902",0.348,"361,514",0.407
22,3,2020,3/22/2020,409364,0.169,378900,0.35,,,,,"4,824",0.261,"277,051",0.318
21,3,2020,3/21/2020,620662,0.205,564900,0.43,,,,,"6,467",0.392,"382,993",0.433
20,3,2020,3/20/2020,1312249,0.239,868600,0.41,,,,,"12,744",0.453,"563,262",0.584
19,3,2020,3/19/2020,1425564,0.256,933600,0.43,,,,,"14,116",0.483,"569,696",0.62
18,3,2020,3/18/2020,1629413,0.286,1059500,0.45,,,,,"15,942",0.5,"634,853",0.688
17,3,2020,3/17/2020,1793359,0.318,1094900,0.47,,,,,"18,173",0.594,"650,445",0.716
16,3,2020,3/16/2020,2184296,0.405,1237300,0.55,,,,,"21,145",0.756,"708,870",0.794
15,3,2020,3/15/2020,1159079,0.476,711600,0.69,,,,,"12,480",0.683,"535,988",0.636
14,3,2020,3/14/2020,1672800,0.525,993300,0.73,,,,,"13,394",0.791,"631,101",0.698
13,3,2020,3/13/2020,3496765,0.62,1715700,0.77,,,,,"26,640",0.918,"860,419",0.862
12,3,2020,3/12/2020,4163674,0.716,1938400,0.82,,,,,"30,814",0.985,"881,188",0.913
11,3,2020,3/11/2020,4712462,0.815,2113000,0.9,,,,,"32,198",1.006,"866,706",0.933
10,3,2020,3/10/2020,4883623,0.849,2112000,0.91,,,,,"31,315",1.021,"855,585",0.942
9,3,2020,3/9/2020,4989635,0.896,2124800,0.93,,,,,"29,609",1.027,"860,073",0.953
8,3,2020,3/8/2020,2122328,1.004,957200,1.07,,,,,"19,477",1.134,"765,084",0.994
7,3,2020,3/7/2020,2817082,0.904,1249100,0.91,,,,,"18,117",1.037,"827,908",0.924
6,3,2020,3/6/2020,5204732,0.916,2066700,0.93,,,,,"30,970",1.067,"945,408",0.96
5,3,2020,3/5/2020,5513656,0.956,2244500,0.99,,,,,"33,209",1.071,"929,298",0.991
4,3,2020,3/4/2020,5515945,0.968,2177200,0.97,,,,,"34,297",1.087,"905,558",0.999
3,3,2020,3/3/2020,5498556,0.961,2228600,0.97,,,,,"32,767",1.069,"882,175",0.983
2,3,2020,3/2/2020,5347055,1.239,2209100,1.4,,,,,"30,338",1.282,"874,620",1.275
1,3,2020,3/1/2020,2214601,0.987,984900,1.01,,,,,"19,922",1.188,"786,961",1.078
