Test_Date,County_Code,Positive_Cases,Total_Tests
2020-05-07,36085,73,677
2020-05-08,36005,271,2887
2020-05-08,36047,464,4750
2020-05-08,36061,150,2630
2020-05-08,36081,557,4641
2020-05-08,36085,73,835
2020-05-09,36005,255,2936
2020-05-09,36047,357,3685
2020-05-09,36061,96,2338
2020-05-09,36081,373,3441
2020-05-09,36085,52,718
2020-05-10,36005,237,2144
2020-05-10,36047,257,2827
2020-05-10,36061,86,1493
2020-05-10,36081,321,2944
2020-05-10,36085,45,493
2020-05-11,36005,144,1509
2020-05-11,36047,259,2983
2020-05-11,36061,129,1984
2020-05-11,36081,211,2556
2020-05-11,36085,22,517
2020-05-12,36005,238,2681
2020-05-12,36047,339,4618
2020-05-12,36061,157,2827
2020-05-12,36081,357,3833
2020-05-12,36085,41,806
2020-05-13,36005,303,3340
2020-05-13,36047,428,6107
2020-05-13,36061,179,3701
2020-05-13,36081,338,4442
2020-05-13,36085,51,869
2020-05-14,36005,543,4418
2020-05-14,36047,486,5742
2020-05-14,36061,308,3944
2020-05-14,36081,433,4883
2020-05-14,36085,48,813
2020-05-15,36005,293,3634
2020-05-15,36047,409,5791
2020-05-15,36061,153,3473
2020-05-15,36081,328,4651
2020-05-15,36085,65,843
2020-05-16,36005,210,2862
2020-05-16,36047,308,4377
2020-05-16,36061,148,3096
2020-05-16,36081,293,4211
2020-05-16,36085,37,713
2020-05-17,36005,136,2128
2020-05-17,36047,187,3052
2020-05-17,36061,86,2017
2020-05-17,36081,192,3231
2020-05-17,36085,36,571
2020-05-18,36005,113,2103
2020-05-18,36047,197,4134
2020-05-18,36061,78,2832
2020-05-18,36081,184,3366
2020-05-18,36085,22,621
2020-05-19,36005,148,2688
2020-05-19,36047,208,3891
2020-05-19,36061,98,3688
2020-05-19,36081,244,4582
2020-05-19,36085,31,751
2020-05-20,36005,185,3621
2020-05-20,36047,498,7255
2020-05-20,36061,132,4220
2020-05-20,36081,274,5169
2020-05-20,36085,40,908
2020-05-21,36005,163,3425
2020-05-21,36047,254,5372
2020-05-21,36061,152,4367
2020-05-21,36081,212,5182
2020-05-21,36085,31,878
2020-05-22,36005,155,3518
2020-05-22,36047,263,6187
2020-05-22,36061,134,4591
2020-05-22,36081,186,5392
2020-05-22,36085,44,1232
2020-05-23,36005,216,4578
2020-05-23,36047,273,6786
2020-05-23,36061,103,4224
2020-05-23,36081,217,5275
2020-05-23,36085,51,1120
2020-05-24,36005,110,2448
2020-05-24,36047,186,4976
2020-05-24,36061,100,3368
2020-05-24,36081,191,4451
2020-05-24,36085,21,732
2020-05-25,36005,117,2236
2020-05-25,36047,200,5211
2020-05-25,36061,83,3634
2020-05-25,36081,133,3790
2020-05-25,36085,38,1047
2020-05-26,36005,139,3067
2020-05-26,36047,219,5941
2020-05-26,36061,121,3600
2020-05-26,36081,165,4204
2020-05-26,36085,23,718
2020-05-27,36005,250,5659
2020-05-27,36047,366,10929
2020-05-27,36061,134,6897
2020-05-27,36081,275,9126
2020-05-27,36085,57,1624
2020-05-28,36005,221,5784
2020-05-28,36047,299,10685
2020-05-28,36061,131,7424
2020-05-28,36081,244,8481
2020-05-28,36085,51,1731
2020-05-29,36005,142,4821
2020-05-29,36047,282,9619
2020-05-29,36061,96,5680
2020-05-29,36081,184,7089
2020-05-29,36085,50,1376
2020-05-30,36005,138,4339
2020-05-30,36047,173,7165
2020-05-30,36061,77,4425
2020-05-30,36081,148,6227
2020-05-30,36085,17,1214
2020-05-31,36005,106,4003
2020-05-31,36047,153,5762
2020-05-31,36061,68,4385
2020-05-31,36081,119,5918
2020-05-31,36085,17,1201
2020-06-01,36005,107,4070
2020-06-01,36047,189,7498
2020-06-01,36061,93,5161
2020-06-01,36081,199,7241
2020-06-01,36085,25,972
2020-06-02,36005,105,3580
2020-06-02,36047,163,7481
2020-06-02,36061,72,4213
2020-06-02,36081,132,6322
2020-06-02,36085,23,992
2020-06-03,36005,118,4308
2020-06-03,36047,182,7879
2020-06-03,36061,82,4378
2020-06-03,36081,117,6457
2020-06-03,36085,36,1784
2020-06-04,36005,90,4606
2020-06-04,36047,183,7648
2020-06-04,36061,69,4414
2020-06-04,36081,152,6702
2020-06-04,36085,42,1577
2020-06-05,36005,104,5144
2020-06-05,36047,196,9363
2020-06-05,36061,85,5317
2020-06-05,36081,158,7675
2020-06-05,36085,28,1886
2020-06-06,36005,98,4163
2020-06-06,36047,165,8371
2020-06-06,36061,56,4711
2020-06-06,36081,113,6500
2020-06-06,36085,26,1379
2020-06-07,36005,72,3720
2020-06-07,36047,129,7250
2020-06-07,36061,39,4045
2020-06-07,36081,134,6522
2020-06-07,36085,10,1182
2020-06-08,36005,75,3214
2020-06-08,36047,107,5486
2020-06-08,36061,41,3954
2020-06-08,36081,97,5236
2020-06-08,36085,20,895
2020-06-09,36005,96,4468
2020-06-09,36047,117,8817
2020-06-09,36061,66,5434
2020-06-09,36081,132,7770
2020-06-09,36085,14,1144
2020-06-10,36005,93,3930
2020-06-10,36047,121,6513
2020-06-10,36061,60,5000
2020-06-10,36081,106,6801
2020-06-10,36085,19,1290
2020-06-11,36005,80,4895
2020-06-11,36047,127,8665
2020-06-11,36061,68,5665
2020-06-11,36081,142,7575
2020-06-11,36085,20,1547
2020-06-12,36005,105,5869
2020-06-12,36047,185,10213
2020-06-12,36061,77,6295
2020-06-12,36081,155,7818
2020-06-12,36085,17,1596
2020-06-13,36005,66,4579
2020-06-13,36047,140,9004
2020-06-13,36061,44,5529
2020-06-13,36081,95,6739
2020-06-13,36085,40,1366
2020-06-14,36005,78,4690
2020-06-14,36047,118,8877
2020-06-14,36061,54,6045
2020-06-14,36081,111,7491
2020-06-14,36085,21,1391
2020-06-15,36005,65,4543
2020-06-15,36047,97,8003
2020-06-15,36061,50,6184
2020-06-15,36081,110,7038
2020-06-15,36085,10,2387
2020-06-16,36005,68,5108
2020-06-16,36047,112,8471
2020-06-16,36061,31,5833
2020-06-16,36081,134,8320
2020-06-16,36085,5,1327
