date,Subways_Total_Estimated_Ridership,Subways_Percentage_of_Comparable_Pre_Pandemic_Day,Buses_Total_Estimated_Ridership,Buses_Percentage_of_Comparable_Pre_Pandemic_Day,LIRR_Total_Estimated_Ridership,LIRR_Percentage_of_2019_Monthly_Weekday_Saturday_Sunday_Average,Metro_North_Total_Estimated_Ridership,Metro_North_Percentage_of_2019_Monthly_Weekday_Saturday_Sunday_Average,Access_A_Ride_Total_Scheduled_Trips,Access_A_Ride_Percentage_of_Comprable_Pre_Pandemic_Day,Bridges_and_Tunnels_Total_Traffic,Bridges_and_Tunnels_Percentage_of_Comparable_Pre_Pandemic_Day
05/05/2022,"3,504,103",0.595,"1,424,789",0.603,"174,600",0.61,"150,100",0.58,"25,903",0.84,"982,930",0.995
05/04/2022,"3,360,317",0.573,"1,431,253",0.597,"168,500",0.59,"147,100",0.57,"25,462",0.799,"909,016",0.945
05/03/2022,"3,409,510",0.586,"1,479,266",0.625,"177,900",0.62,"155,300",0.6,"24,680",0.797,"929,868",0.994
05/02/2022,"2,737,861",0.485,"1,168,467",0.513,"146,400",0.5,"126,800",0.48,"21,695",0.766,"883,276",0.952
05/01/2022,"1,686,408",0.724,"674,569",0.803,"64,600",0.69,"62,500",0.78,"12,976",0.741,"870,826",1.092
04/30/2022,"2,110,627",0.654,"881,880",0.635,"82,900",0.73,"82,800",0.86,"14,223",0.808,"938,739",1.004
04/29/2022,"3,263,295",0.568,"1,426,696",0.639,"164,900",0.55,"136,900",0.51,"23,421",0.816,"994,415",0.984
04/28/2022,"3,411,573",0.578,"1,465,092",0.624,"167,300",0.58,"146,300",0.56,"24,321",0.82,"968,651",0.986
04/27/2022,"3,439,081",0.592,"1,498,948",0.638,"172,600",0.6,"153,100",0.59,"25,229",0.819,"934,481",0.981
04/26/2022,"3,288,631",0.571,"1,452,642",0.635,"172,200",0.6,"153,900",0.59,"23,800",0.804,"897,493",0.966
04/25/2022,"3,032,820",0.546,"1,415,410",0.63,"159,600",0.55,"139,000",0.52,"22,370",0.821,"883,942",0.976
04/24/2022,"1,655,863",0.684,"648,591",0.654,"64,800",0.69,"67,600",0.84,"12,927",0.74,"875,218",1.045
04/23/2022,"2,109,247",0.645,"844,146",0.632,"79,400",0.7,"89,800",0.93,"13,459",0.821,"907,580",0.984
04/22/2022,"2,991,024",0.592,"1,217,380",0.696,"157,900",0.53,"145,600",0.54,"22,298",0.878,"935,779",1.036
04/21/2022,"3,039,160",0.556,"1,231,047",0.623,"165,800",0.58,"147,500",0.57,"23,239",0.83,"920,202",0.977
04/20/2022,"3,104,143",0.571,"1,265,823",0.628,"171,700",0.6,"155,700",0.6,"24,212",0.826,"942,383",1.001
04/19/2022,"2,967,971",0.546,"1,189,960",0.588,"168,400",0.58,"151,500",0.58,"22,359",0.808,"895,086",0.961
04/18/2022,"2,681,463",0.542,"1,145,261",0.631,"154,300",0.53,"139,200",0.52,"20,245",0.848,"901,207",0.98
04/17/2022,"1,514,273",0.646,"596,619",0.6,"71,300",0.76,"71,700",0.89,"14,704",0.759,"845,418",0.961
04/16/2022,"1,988,439",0.702,"830,874",0.695,"89,000",0.79,"83,700",0.87,"13,413",0.907,"885,536",1.049
04/15/2022,"2,766,260",0.582,"1,137,728",0.645,"166,100",0.55,"140,200",0.52,"20,908",0.854,"973,156",1.008
04/14/2022,"3,304,078",0.56,"1,438,990",0.639,"162,900",0.57,"144,300",0.55,"25,073",0.846,"982,717",0.982
04/13/2022,"3,227,557",0.54,"1,495,891",0.639,"163,400",0.57,"147,000",0.57,"25,847",0.822,"949,712",0.981
04/12/2022,"3,085,168",0.52,"1,496,004",0.637,"172,300",0.6,"149,400",0.57,"25,286",0.84,"936,334",0.989
04/11/2022,"3,212,082",0.578,"1,433,226",0.654,"161,100",0.55,"140,200",0.53,"23,569",0.843,"901,316",0.992
04/10/2022,"1,707,761",0.69,"667,662",0.675,"63,200",0.68,"66,100",0.82,"13,935",0.748,"850,153",0.998
04/09/2022,"2,190,462",0.668,"868,945",0.62,"81,600",0.72,"86,600",0.9,"13,969",0.792,"897,690",0.947
04/08/2022,"3,354,096",0.586,"1,443,367",0.646,"160,900",0.54,"140,800",0.52,"24,488",0.842,"998,348",0.997
04/07/2022,"3,313,712",0.569,"1,379,678",0.589,"161,300",0.56,"140,200",0.54,"24,107",0.768,"901,454",0.927
04/06/2022,"3,318,116",0.566,"1,403,198",0.598,"163,800",0.57,"142,800",0.55,"25,103",0.785,"890,470",0.937
04/05/2022,"3,363,543",0.583,"1,484,961",0.642,"170,100",0.59,"150,700",0.58,"24,873",0.822,"904,813",0.99
04/04/2022,"3,134,343",0.564,"1,447,820",0.633,"159,500",0.55,"135,900",0.51,"23,746",0.838,"899,510",0.988
04/03/2022,"1,465,351",0.584,"607,152",0.612,"58,800",0.63,"53,800",0.67,"12,947",0.675,"790,600",0.885
04/02/2022,"2,130,919",0.645,"879,513",0.626,"77,200",0.68,"80,500",0.83,"14,382",0.804,"893,814",0.953
04/01/2022,"3,243,079",0.569,"1,411,421",0.65,"145,300",0.49,"120,600",0.45,"24,017",0.84,"972,802",0.999
03/31/2022,"3,330,025",0.563,"1,450,363",0.614,"164,100",0.57,"139,600",0.54,"24,308",0.773,"941,530",0.965
03/30/2022,"3,342,993",0.568,"1,465,351",0.616,"164,900",0.58,"143,200",0.55,"24,620",0.762,"913,063",0.978
03/29/2022,"3,298,783",0.572,"1,430,099",0.61,"163,200",0.57,"143,900",0.55,"23,981",0.802,"886,086",0.978
03/28/2022,"2,995,970",0.538,"1,336,330",0.582,"153,200",0.53,"130,900",0.49,"22,114",0.775,"868,259",0.968
03/27/2022,"1,535,658",0.679,"628,313",0.635,"65,000",0.69,"58,000",0.72,"11,809",0.678,"830,360",1.017
03/26/2022,"2,026,750",0.624,"783,499",0.56,"71,800",0.64,"73,900",0.77,"13,208",0.765,"875,353",0.942
03/25/2022,"3,225,045",0.576,"1,397,899",0.628,"158,500",0.53,"133,400",0.5,"23,274",0.813,"967,743",0.982
03/24/2022,"3,218,694",0.555,"1,373,850",0.59,"162,400",0.56,"134,100",0.51,"22,998",0.754,"900,384",0.931
03/23/2022,"3,282,248",0.574,"1,438,665",0.623,"161,200",0.56,"138,900",0.54,"24,574",0.781,"891,509",0.963
03/22/2022,"3,284,022",0.577,"1,471,299",0.627,"168,300",0.58,"144,800",0.56,"23,948",0.79,"891,089",0.985
03/21/2022,"3,041,126",0.561,"1,418,900",0.628,"165,500",0.57,"134,200",0.5,"22,229",0.78,"880,846",0.991
03/20/2022,"1,658,395",0.686,"628,693",0.584,"67,600",0.72,"63,800",0.79,"12,736",0.69,"879,711",1.009
03/19/2022,"2,003,889",0.663,"820,933",0.618,"74,100",0.66,"74,000",0.77,"12,877",0.781,"872,810",0.986
03/18/2022,"3,281,721",0.597,"1,402,806",0.655,"163,200",0.54,"137,500",0.51,"24,019",0.854,"978,491",1.015
03/17/2022,"3,182,552",0.572,"1,350,810",0.618,"166,900",0.58,"135,700",0.52,"22,946",0.785,"888,875",0.967
03/16/2022,"3,339,344",0.587,"1,476,356",0.63,"168,800",0.59,"145,100",0.56,"25,305",0.793,"914,284",0.99
03/15/2022,"3,283,193",0.582,"1,454,522",0.625,"171,400",0.59,"146,800",0.56,"24,272",0.793,"906,028",0.998
03/14/2022,"3,015,216",0.559,"1,406,578",0.624,"160,000",0.55,"134,100",0.5,"22,481",0.803,"879,699",0.986
03/13/2022,"1,480,930",0.613,"590,753",0.549,"60,000",0.64,"57,500",0.72,"11,491",0.623,"792,377",0.909
03/12/2022,"1,665,641",0.523,"637,601",0.47,"51,700",0.46,"59,900",0.62,"10,655",0.629,"669,502",0.74
03/11/2022,"3,202,106",0.568,"1,419,371",0.637,"159,000",0.53,"135,400",0.5,"23,736",0.818,"986,555",0.989
03/10/2022,"3,346,277",0.576,"1,476,288",0.626,"163,900",0.57,"140,100",0.54,"24,515",0.784,"945,191",0.98
03/09/2022,"3,119,759",0.54,"1,338,822",0.57,"153,400",0.54,"129,100",0.5,"23,477",0.733,"832,720",0.896
03/08/2022,"3,251,396",0.565,"1,456,451",0.625,"158,700",0.55,"138,800",0.53,"24,076",0.785,"894,132",0.985
03/07/2022,"2,987,081",0.537,"1,395,540",0.609,"153,900",0.53,"129,800",0.49,"22,465",0.779,"861,409",0.954
03/06/2022,"1,446,051",0.644,"600,501",0.613,"53,000",0.57,"52,900",0.66,"12,557",0.749,"787,598",1.079
03/05/2022,"1,957,651",0.687,"812,774",0.649,"69,000",0.61,"70,400",0.73,"13,269",0.735,"865,292",1.028
03/04/2022,"3,083,344",0.559,"1,363,159",0.634,"145,500",0.49,"125,100",0.47,"22,821",0.716,"957,694",0.996
03/03/2022,"3,214,169",0.565,"1,434,851",0.647,"152,900",0.53,"132,500",0.51,"23,800",0.731,"923,154",0.996
03/02/2022,"3,214,846",0.572,"1,463,263",0.65,"159,200",0.56,"140,900",0.55,"24,289",0.726,"896,503",1.008
03/01/2022,"3,144,836",0.564,"1,435,834",0.646,"165,800",0.57,"150,800",0.58,"22,944",0.715,"873,348",0.999
02/28/2022,"2,921,956",0.54,"1,362,855",0.613,"134,900",0.46,"118,600",0.45,"21,929",0.724,"859,177",0.999
02/27/2022,"1,404,750",0.617,"604,646",0.597,"62,900",0.67,"51,600",0.64,"11,337",0.565,"802,377",1.009
02/26/2022,"1,826,845",0.625,"775,358",0.615,"71,800",0.64,"61,600",0.64,"12,226",0.696,"847,294",1.019
02/25/2022,"2,580,174",0.499,"1,027,563",0.546,"114,700",0.38,"91,000",0.34,"18,740",0.628,"794,852",0.855
02/24/2022,"2,864,025",0.534,"1,196,924",0.602,"132,500",0.46,"110,400",0.42,"21,868",0.693,"911,720",1.005
02/23/2022,"2,900,361",0.541,"1,247,209",0.613,"140,200",0.49,"119,200",0.46,"23,807",0.724,"892,767",1.012
02/22/2022,"2,675,275",0.519,"1,143,526",0.589,"135,400",0.47,"112,800",0.43,"19,233",0.619,"846,877",0.988
02/21/2022,"1,945,048",0.607,"873,961",0.642,"109,900",0.38,"63,900",0.24,"12,500",0.765,"816,227",1.033
02/20/2022,"1,478,642",0.649,"571,789",0.565,"55,000",0.59,"54,900",0.68,"11,017",0.549,"768,971",0.967
02/19/2022,"1,794,244",0.614,"723,602",0.574,"64,700",0.57,"66,500",0.69,"12,171",0.693,"813,140",0.978
02/18/2022,"2,959,462",0.534,"1,285,978",0.61,"129,400",0.43,"112,000",0.42,"21,470",0.695,"947,650",0.969
02/17/2022,"3,116,483",0.549,"1,408,571",0.638,"141,200",0.49,"115,700",0.44,"23,713",0.72,"911,310",0.995
02/16/2022,"3,106,976",0.557,"1,406,714",0.62,"140,400",0.49,"115,300",0.45,"23,513",0.687,"875,377",0.995
02/15/2022,"3,037,189",0.541,"1,340,123",0.6,"146,600",0.51,"119,000",0.46,"21,922",0.667,"873,240",1.014
02/14/2022,"2,913,628",0.54,"1,272,100",0.593,"142,500",0.49,"113,300",0.43,"20,812",0.692,"862,473",1.02
02/13/2022,"1,351,186",0.579,"510,307",0.525,"50,500",0.54,"46,400",0.58,"10,013",0.518,"655,107",0.865
02/12/2022,"2,028,603",0.729,"820,629",0.723,"71,700",0.64,"71,800",0.74,"13,376",0.813,"867,255",1.053
02/11/2022,"3,021,042",0.545,"1,348,189",0.64,"131,000",0.44,"110,700",0.41,"22,608",0.731,"939,270",0.961
02/10/2022,"3,118,851",0.549,"1,423,775",0.644,"143,100",0.5,"115,700",0.44,"23,341",0.709,"905,812",0.989
02/09/2022,"3,095,072",0.555,"1,421,706",0.627,"143,700",0.5,"115,300",0.45,"23,863",0.697,"868,057",0.987
02/08/2022,"3,022,902",0.539,"1,387,432",0.622,"141,700",0.49,"119,200",0.46,"22,667",0.69,"851,665",0.989
02/07/2022,"2,789,941",0.517,"1,297,024",0.605,"136,500",0.47,"111,300",0.42,"21,120",0.702,"809,094",0.957
02/06/2022,"1,325,280",0.588,"558,211",0.562,"51,500",0.55,"48,400",0.6,"10,621",0.541,"744,779",0.973
02/05/2022,"1,794,615",0.603,"726,750",0.565,"61,200",0.54,"61,500",0.64,"11,377",0.628,"775,134",0.933
02/04/2022,"2,730,797",0.494,"1,176,367",0.557,"117,900",0.39,"94,300",0.35,"18,557",0.603,"781,068",0.853
02/03/2022,"2,919,948",0.516,"1,304,726",0.596,"126,900",0.44,"104,100",0.4,"22,325",0.695,"853,193",0.964
02/02/2022,"2,945,982",0.519,"1,314,898",0.574,"140,100",0.49,"111,000",0.43,"22,427",0.667,"846,701",0.966
02/01/2022,"2,640,076",0.472,"1,127,084",0.498,"135,300",0.47,"111,400",0.43,"20,357",0.628,"804,390",0.939
01/31/2022,"2,580,730",0.479,"1,139,164",0.519,"132,200",0.46,"109,700",0.41,"18,400",0.611,"777,628",0.907
01/30/2022,"1,263,710",0.565,"460,299",0.475,"47,900",0.51,"45,000",0.56,"5,974",0.302,"506,466",0.72
01/29/2022,"1,000,199",0.348,"271,959",0.217,"8,100",0.07,"22,000",0.23,"5,353",0.317,"174,348",0.221
01/28/2022,"2,708,397",0.501,"1,208,092",0.569,"120,900",0.4,"96,400",0.36,"20,115",0.645,"866,261",0.929
01/27/2022,"2,730,250",0.484,"1,275,573",0.581,"119,000",0.41,"95,700",0.37,"20,934",0.663,"869,615",1.008
01/26/2022,"2,717,000",0.482,"1,266,798",0.568,"118,600",0.41,"96,300",0.37,"21,033",0.645,"833,936",0.955
01/25/2022,"2,706,871",0.485,"1,308,979",0.586,"124,500",0.43,"98,900",0.38,"21,233",0.673,"817,021",0.956
01/24/2022,"2,542,015",0.484,"1,244,112",0.594,"127,800",0.44,"100,500",0.38,"19,472",0.658,"791,390",0.938
01/23/2022,"1,246,961",0.535,"529,115",0.528,"48,700",0.52,"43,600",0.54,"9,446",0.511,"685,007",0.896
01/22/2022,"1,585,292",0.609,"655,490",0.636,"59,400",0.53,"53,700",0.56,"10,455",0.652,"735,629",0.988
01/21/2022,"2,570,529",0.481,"1,151,816",0.557,"113,500",0.38,"91,100",0.34,"19,079",0.626,"864,079",0.931
01/20/2022,"2,550,517",0.468,"1,181,953",0.555,"112,600",0.39,"88,200",0.34,"18,616",0.587,"766,608",0.861
01/19/2022,"2,647,727",0.488,"1,286,788",0.603,"121,200",0.42,"96,300",0.37,"21,111",0.648,"829,778",0.957
01/18/2022,"2,546,425",0.479,"1,222,195",0.589,"125,600",0.44,"100,400",0.39,"19,389",0.619,"815,605",0.943
01/17/2022,"1,602,238",0.502,"694,066",0.532,"98,700",0.34,"44,100",0.17,"8,760",0.56,"649,397",0.815
01/16/2022,"1,166,766",0.511,"456,257",0.483,"43,600",0.47,"38,000",0.47,"8,545",0.503,"621,361",0.884
01/15/2022,"1,436,125",0.554,"573,037",0.565,"53,400",0.47,"45,300",0.47,"9,510",0.674,"703,293",1.093
01/14/2022,"2,527,746",0.473,"1,186,647",0.584,"109,200",0.36,"88,600",0.33,"18,878",0.62,"866,901",0.911
01/13/2022,"2,529,329",0.458,"1,218,552",0.566,"112,500",0.39,"87,700",0.34,"19,918",0.627,"821,641",0.908
01/12/2022,"2,464,248",0.447,"1,179,931",0.529,"111,000",0.39,"86,000",0.33,"19,679",0.591,"784,901",0.886
01/11/2022,"2,271,033",0.419,"1,040,581",0.479,"104,400",0.36,"81,400",0.31,"17,388",0.542,"753,381",0.875
01/10/2022,"2,352,277",0.451,"1,147,341",0.529,"116,500",0.4,"90,200",0.34,"18,268",0.611,"762,712",0.9
01/09/2022,"1,103,682",0.482,"475,438",0.478,"43,400",0.46,"35,300",0.44,"7,916",0.409,"567,494",0.75
01/08/2022,"1,487,737",0.495,"631,341",0.485,"51,700",0.46,"46,400",0.48,"9,126",0.498,"641,533",0.773
01/07/2022,"2,125,569",0.39,"880,997",0.413,"90,200",0.3,"73,100",0.27,"14,203",0.46,"559,774",0.613
01/06/2022,"2,396,085",0.438,"1,146,904",0.543,"103,600",0.36,"82,600",0.32,"18,672",0.592,"780,026",0.879
01/05/2022,"2,272,601",0.418,"1,078,511",0.503,"98,300",0.34,"77,600",0.3,"18,861",0.587,"709,060",0.831
01/04/2022,"2,294,147",0.424,"1,082,360",0.503,"104,200",0.36,"82,000",0.32,"17,909",0.567,"733,369",0.871
01/03/2022,"2,172,744",0.414,"1,000,002",0.478,"103,000",0.35,"84,000",0.32,"16,437",0.552,"692,740",0.832
01/02/2022,"1,221,306",0.537,"475,096",0.504,"49,200",0.53,"42,600",0.53,"8,383",0.45,"624,655",0.888
01/01/2022,"1,029,180",0.445,"350,845",0.464,"34,000",0.3,"30,300",0.31,"4,904",0.575,"498,515",0.746
12/31/2021,"1,629,859",0.522,"699,749",0.58,"96,700",0.32,"85,200",0.32,"11,498",0.757,"628,305",0.737
12/30/2021,"2,202,359",0.509,"928,012",0.604,"110,100",0.38,"90,800",0.35,"16,177",0.657,"804,654",0.985
12/29/2021,"2,171,073",0.501,"921,562",0.6,"105,900",0.37,"92,600",0.36,"16,859",0.685,"768,653",0.941
12/28/2021,"2,172,791",0.502,"953,933",0.621,"109,900",0.38,"89,700",0.35,"16,736",0.68,"764,364",0.935
12/27/2021,"2,011,675",0.465,"890,096",0.58,"108,500",0.37,"89,400",0.34,"14,952",0.608,"744,547",0.911
12/26/2021,"1,286,484",0.51,"518,897",0.551,"56,500",0.6,"51,500",0.64,"8,744",0.488,"673,477",0.862
12/25/2021,"811,945",0.466,"329,549",0.493,"39,500",0.35,"31,600",0.33,"9,021",0.61,"582,582",0.761
12/24/2021,"1,577,738",0.432,"746,809",0.489,"97,400",0.33,"81,100",0.3,"12,009",0.541,"738,612",0.816
12/23/2021,"2,491,489",0.525,"1,166,953",0.637,"118,400",0.41,"97,200",0.37,"19,335",0.716,"899,513",0.972
12/22/2021,"2,640,159",0.556,"1,252,621",0.684,"117,700",0.41,"92,900",0.36,"21,673",0.803,"878,197",0.949
12/21/2021,"2,703,097",0.57,"1,299,476",0.71,"124,400",0.43,"97,100",0.37,"21,656",0.802,"866,595",0.936
12/20/2021,"2,722,430",0.574,"1,277,654",0.698,"132,100",0.45,"102,700",0.39,"20,318",0.753,"856,849",0.926
12/19/2021,"1,581,503",0.593,"636,393",0.61,"65,700",0.7,"56,300",0.7,"12,238",0.617,"784,051",0.935
12/18/2021,"1,882,956",0.591,"786,073",0.621,"74,300",0.66,"66,100",0.69,"12,312",0.706,"832,994",0.918
12/17/2021,"3,118,492",0.551,"1,375,383",0.662,"146,100",0.49,"121,000",0.45,"22,539",0.723,"968,689",0.976
12/16/2021,"3,226,842",0.561,"1,438,193",0.703,"152,700",0.53,"126,100",0.48,"23,623",0.741,"948,535",0.974
12/15/2021,"3,249,076",0.547,"1,436,154",0.65,"153,100",0.53,"129,800",0.5,"23,732",0.707,"921,048",0.976
12/14/2021,"3,281,294",0.576,"1,378,221",0.674,"154,900",0.54,"131,800",0.51,"23,043",0.73,"894,669",1.033
12/13/2021,"3,127,619",0.546,"1,333,718",0.612,"153,400",0.53,"129,700",0.49,"21,617",0.716,"874,293",0.964
12/12/2021,"1,831,705",0.651,"627,007",0.595,"80,900",0.87,"66,500",0.83,"12,189",0.617,"828,121",0.985
12/11/2021,"2,268,556",0.657,"786,137",0.613,"91,900",0.81,"81,100",0.84,"13,396",0.754,"863,814",0.98
12/10/2021,"3,423,782",0.578,"1,404,176",0.665,"152,500",0.51,"127,700",0.48,"22,237",0.725,"962,125",0.982
12/09/2021,"3,440,822",0.565,"1,436,883",0.643,"154,400",0.54,"126,200",0.48,"22,743",0.696,"927,903",0.948
12/08/2021,"3,385,675",0.569,"1,430,106",0.647,"156,200",0.55,"130,200",0.5,"22,691",0.731,"889,409",1.008
12/07/2021,"3,375,157",0.569,"1,453,136",0.649,"153,700",0.53,"131,000",0.5,"23,262",0.711,"883,027",0.971
12/06/2021,"3,142,556",0.559,"1,394,230",0.678,"155,000",0.53,"127,300",0.48,"21,761",0.728,"865,595",0.988
12/05/2021,"1,737,545",0.65,"665,129",0.643,"72,700",0.78,"60,500",0.75,"12,541",0.639,"818,544",0.991
12/04/2021,"2,318,203",0.658,"864,764",0.655,"91,500",0.81,"81,400",0.84,"13,317",0.719,"864,918",0.965
12/03/2021,"3,380,539",0.567,"1,419,078",0.645,"144,500",0.48,"119,400",0.44,"22,518",0.727,"940,827",0.962
12/02/2021,"3,366,133",0.555,"1,449,142",0.635,"154,700",0.54,"127,500",0.49,"22,540",0.685,"923,179",0.957
12/01/2021,"3,333,735",0.557,"1,463,384",0.639,"163,200",0.57,"136,100",0.53,"23,347",0.692,"899,319",0.966
11/30/2021,"3,214,333",0.551,"1,432,539",0.642,"166,700",0.58,"136,600",0.53,"22,469",0.743,"897,216",1.001
11/29/2021,"3,002,707",0.57,"1,381,661",0.704,"166,200",0.57,"132,500",0.5,"21,124",0.805,"900,399",1.179
11/28/2021,"1,467,414",0.722,"592,081",0.723,"75,200",0.8,"65,100",0.81,"10,481",0.697,"825,585",1.135
11/27/2021,"1,882,638",0.675,"750,986",0.613,"83,700",0.74,"76,100",0.79,"10,620",0.744,"850,980",0.943
11/26/2021,"2,092,977",0.601,"843,588",0.595,"128,500",0.43,"108,700",0.4,"11,077",0.741,"789,915",0.984
11/25/2021,"1,359,188",0.64,"509,782",0.624,"125,400",0.44,"69,900",0.27,"15,459",0.722,"861,084",0.954
11/24/2021,"3,091,878",0.585,"1,343,391",0.627,"165,300",0.58,"139,400",0.54,"21,002",0.763,"992,568",1.005
11/23/2021,"3,293,785",0.564,"1,424,890",0.618,"162,200",0.56,"136,600",0.53,"22,574",0.708,"989,345",0.992
11/22/2021,"3,137,259",0.548,"1,418,226",0.624,"156,900",0.54,"127,800",0.48,"21,441",0.717,"901,942",0.996
11/21/2021,"1,676,033",0.743,"674,551",0.724,"80,500",0.86,"66,900",0.83,,,"841,901",1.115
11/20/2021,"2,138,098",0.67,"861,772",0.635,"94,400",0.84,"82,900",0.86,,,"915,131",1.02
11/19/2021,"3,323,841",0.572,"1,429,787",0.653,"151,800",0.51,"127,100",0.47,"22,662",0.745,"987,149",1.009
11/18/2021,"3,419,760",0.57,"1,505,488",0.645,"157,400",0.55,"132,600",0.51,"24,071",0.742,"959,226",0.999
11/17/2021,"3,376,522",0.569,"1,501,740",0.645,"158,400",0.55,"131,100",0.51,"24,396",0.728,"915,266",0.986
11/16/2021,"3,348,316",0.568,"1,492,110",0.643,"161,400",0.56,"137,200",0.53,"23,694",0.725,"902,386",0.992
11/15/2021,"3,117,761",0.555,"1,437,414",0.661,"161,000",0.55,"132,200",0.5,"22,208",0.747,"890,524",1.009
11/14/2021,"1,704,908",0.7,"657,129",0.65,"72,500",0.78,"62,900",0.78,"12,460",0.657,"858,311",1.046
11/13/2021,"2,172,149",0.671,"815,114",0.619,"80,800",0.72,"74,300",0.77,"13,124",0.751,"869,112",0.962
11/12/2021,"3,164,764",0.538,"1,350,608",0.606,"141,700",0.47,"117,700",0.44,"21,598",0.69,"919,941",0.929
11/11/2021,"2,927,728",0.61,"1,198,235",0.661,"143,400",0.5,"122,900",0.47,"19,846",0.898,"895,643",1.054
11/10/2021,"3,359,437",0.576,"1,514,453",0.69,"159,300",0.56,"134,400",0.52,"24,608",0.763,"926,005",1.009
11/09/2021,"3,287,134",0.566,"1,518,264",0.692,"157,200",0.54,"134,100",0.52,"24,504",0.776,"898,518",1.012
11/08/2021,"3,072,454",0.528,"1,461,178",0.632,"159,700",0.55,"131,100",0.49,"22,136",0.735,"889,544",0.968
11/07/2021,"1,891,963",0.657,"614,513",0.62,"81,200",0.87,"72,200",0.9,"10,647",0.63,"780,686",1.005
11/06/2021,"2,198,274",0.679,"864,499",0.661,"84,900",0.75,"80,800",0.84,"13,672",0.771,"910,587",0.996
11/05/2021,"3,300,207",0.563,"1,457,014",0.667,"150,200",0.5,"121,800",0.45,"23,009",0.777,"966,007",0.985
11/04/2021,"3,291,525",0.546,"1,486,942",0.636,"151,400",0.53,"126,500",0.49,"24,009",0.745,"931,012",0.975
11/03/2021,"3,301,103",0.548,"1,507,287",0.634,"154,200",0.54,"131,000",0.51,"23,349",0.701,"901,230",0.963
11/02/2021,"2,853,901",0.515,"1,258,180",0.598,"147,800",0.51,"129,300",0.5,"22,016",0.722,"853,432",0.957
11/01/2021,"3,041,089",0.522,"1,448,304",0.626,"158,400",0.54,"131,300",0.49,"21,387",0.71,"898,451",0.978
10/31/2021,"1,748,679",0.695,"656,203",0.624,"68,700",0.73,"66,300",0.82,"12,233",0.63,"824,978",0.961
10/30/2021,"2,046,487",0.611,"819,620",0.591,"76,500",0.68,"69,300",0.72,"12,642",0.694,"854,656",0.923
10/29/2021,"3,258,376",0.547,"1,426,938",0.63,"153,300",0.51,"122,600",0.46,"22,477",0.743,"963,442",0.972
10/28/2021,"3,373,576",0.584,"1,515,489",0.698,"159,600",0.55,"132,200",0.51,"24,814",0.855,"959,835",1.083
10/27/2021,"3,307,634",0.549,"1,503,535",0.637,"155,900",0.54,"129,900",0.5,"24,144",0.752,"914,494",0.988
10/26/2021,"2,707,913",0.453,"1,233,660",0.531,"130,100",0.45,"104,500",0.4,"21,220",0.682,"738,636",0.809
10/25/2021,"3,001,962",0.521,"1,461,023",0.63,"158,300",0.54,"125,800",0.47,"21,724",0.752,"883,887",0.967
10/24/2021,"1,601,835",0.727,"659,283",0.756,"69,600",0.74,"68,200",0.85,"12,314",0.719,"883,371",1.137
10/23/2021,"2,079,731",0.623,"847,596",0.606,"74,700",0.66,"82,900",0.86,"13,556",0.76,"914,737",0.961
10/22/2021,"3,232,113",0.547,"1,471,199",0.641,"145,800",0.49,"126,600",0.47,"22,843",0.757,"986,548",0.98
10/21/2021,"3,275,195",0.535,"1,476,434",0.62,"149,900",0.52,"127,300",0.49,"24,007",0.748,"948,652",0.963
10/20/2021,"3,241,475",0.535,"1,525,608",0.636,"155,200",0.54,"131,100",0.51,"24,474",0.747,"916,246",0.969
10/19/2021,"3,185,458",0.549,"1,510,722",0.667,"153,400",0.53,"130,000",0.5,"23,403",0.78,"899,389",1.028
10/18/2021,"2,989,693",0.527,"1,461,843",0.638,"153,700",0.53,"127,400",0.48,"21,454",0.781,"889,996",1.018
10/17/2021,"1,631,844",0.67,"663,944",0.678,"74,800",0.8,"69,700",0.87,"12,564",0.674,"891,527",1.069
10/16/2021,"2,044,396",0.608,"856,990",0.62,"83,400",0.74,"74,900",0.78,"13,307",0.753,"896,392",0.939
10/15/2021,"3,233,854",0.539,"1,491,099",0.653,"150,900",0.5,"124,700",0.46,"23,251",0.772,"990,940",0.963
10/14/2021,"3,248,072",0.534,"1,527,543",0.66,"154,600",0.54,"126,800",0.49,"24,144",0.77,"952,876",0.983
10/13/2021,"3,164,655",0.541,"1,511,356",0.689,"151,300",0.53,"124,800",0.48,"24,396",0.784,"907,632",0.998
10/12/2021,"3,110,171",0.529,"1,514,608",0.644,"154,600",0.54,"128,200",0.49,"23,848",0.787,"910,639",0.996
10/11/2021,"2,267,498",0.532,"1,045,865",0.64,"131,700",0.45,"114,500",0.43,"16,917",0.889,"878,443",1.029
10/10/2021,"1,499,551",0.564,"601,821",0.558,"65,600",0.7,"59,000",0.73,"11,794",0.638,"806,025",0.9
10/09/2021,"2,052,746",0.628,"856,308",0.621,"84,600",0.75,"82,000",0.85,"13,634",0.779,"919,384",0.978
10/08/2021,"3,175,133",0.541,"1,473,912",0.646,"153,800",0.51,"123,600",0.46,"23,356",0.783,"1,001,210",0.97
10/07/2021,"3,198,045",0.529,"1,523,168",0.642,"150,100",0.52,"121,400",0.47,"24,571",0.781,"951,212",0.979
10/06/2021,"3,147,958",0.529,"1,532,668",0.634,"149,600",0.52,"123,100",0.48,"24,678",0.795,"913,993",0.987
