Route,Notes,FIPS,2015,2016,2017,2018,2019,2020,2019-2020 Change,,2020 Rank
Bx28/38,,36005,"5,121,284","5,006,335","4,600,210","4,171,416",3931208,2564774,"-1,366,434",-34.80%,40
Bx29,,36005,"865,470","833,158","799,770","760,200",747739,469216,"-278,523",-37.20%,191
Bx30,,36005,"3,024,539","2,980,903","2,771,808","2,474,365",2412740,1609021,"-803,720",-33.30%,81
Bx31,,36005,"3,109,579","3,015,131","2,755,388","2,491,047",2440613,1277734,"-1,162,879",-47.60%,109
Bx32,,36005,"2,031,543","1,962,251","1,841,951","1,682,537",1589591,993754,"-595,837",-37.50%,133
Bx33,,36005,"875,025","835,917","774,366","673,880",624170,299191,"-324,979",-52.10%,203
Bx34,,36005,"1,302,512","1,275,156","1,200,414","1,029,205",1005306,613826,"-391,480",-38.90%,180
Bx35,,36005,"5,890,419","5,611,615","5,162,778","4,576,622",4060732,2550892,"-1,509,840",-37.20%,42
Bx36,,36005,"10,042,844","9,638,196","8,824,878","7,873,655",6938411,4722479,"-2,215,932",-31.90%,13
Bx39,,36005,"5,375,560","5,306,401","4,856,348","4,327,220",4033408,3280456,"-752,952",-18.70%,29
Bx40/42,,36005,"8,181,302","7,863,395","7,044,060","6,209,037",5853468,4071863,"-1,781,605",-30.40%,18
Bx41Lcl/SBS,,36005,"7,783,536","7,554,613","6,818,528","5,956,713",5745720,3874409,"-1,871,310",-32.60%,22
Bx46,,36005,"169,753","175,495","168,583","153,893",165339,71576,"-93,763",-56.70%,226
M1,,36061,"3,243,470","3,152,036","2,871,230","2,926,228",2865801,920529,"-1,945,272",-67.90%,142
M2,,36061,"3,011,265","2,901,831","2,733,192","2,669,844",2658027,958805,"-1,699,222",-63.90%,136
M3,,36061,"4,423,712","4,215,003","4,023,658","3,984,102",4032735,1599260,"-2,433,475",-60.30%,84
M4,,36061,"5,251,581","5,006,466","4,592,081","4,622,615",4681794,1573806,"-3,107,989",-66.40%,87
M5,4,36061,"3,532,205","3,340,961","2,288,424","2,306,623",2829264,847598,"-1,981,667",-70.00%,149
M7,,36061,"4,407,585","4,259,962","4,001,351","4,025,992",3624228,1237163,"-2,387,065",-65.90%,114
M8,,36061,"613,169","601,662","539,850","470,218",488687,192899,"-295,789",-60.50%,211
M9,,36061,"1,609,574","1,626,799","1,516,439","1,467,990",1564904,812603,"-752,300",-48.10%,151
