Station (alphabetical by borough),FIPS,Boro,2015,2016,2017,2018,2019,2020,2019-2020 Change,,2020 Rank
"Eastern Pkwy-Brooklyn Museum (2,3)",36047,B,"1,676,659","1,585,048","1,530,635","1,544,013",1338351,441688,"-896,663",-67.00%,364
"Euclid Av (A,C)",36047,B,"3,509,500","3,458,027","3,415,739","3,174,827",3240578,1537226,"-1,703,352",-52.60%,126
"Flatbush Av-Brooklyn College (2,5)",36047,B,"6,487,608","6,321,530","6,107,780","5,822,873",5684108,2404776,"-3,279,332",-57.70%,61
Flushing Av (G),36047,B,"866,803","877,269","849,840","874,498",732897,402100,"-330,797",-45.10%,372
"Flushing Av (J,M)",36047,B,"2,991,074","2,894,033","2,764,583","2,537,390",2773154,1256788,"-1,516,366",-54.70%,168
Fort Hamilton Pkwy (D),36047,B,"1,297,755","1,349,733","1,273,516","1,191,580",1207971,614581,"-593,390",-49.10%,308
"Fort Hamilton Pkwy (F,G)",36047,B,"1,792,239","1,845,401","1,786,458","1,765,887",1800167,633055,"-1,167,112",-64.80%,302
Fort Hamilton Pkwy (N),36047,B,"2,164,028","554,051","988,664","969,878",1372278,780316,"-591,962",-43.10%,262
"Franklin Av (2,3,4,5)/Botanic Garden (S)",36047,B,"5,100,038","5,010,984","4,762,184","4,604,219",4999385,1849090,"-3,150,295",-63.00%,92
"Franklin Av (C,S)",36047,B,"2,137,752","2,056,281","2,058,258","2,051,171",1977940,781552,"-1,196,388",-60.50%,260
Fulton St (G),36047,B,"1,643,353","1,639,930","1,698,778","1,745,439",1768601,743347,"-1,025,254",-58.00%,269
"Gates Av (J,Z)",36047,B,"2,100,864","2,117,787","2,262,915","2,234,908",2249791,957606,"-1,292,185",-57.40%,213
Graham Av (L),36047,B,"3,293,413","3,324,292","3,299,951","3,093,428",2709511,1039834,"-1,669,677",-61.60%,196
"Grand Army Plaza (2,3)",36047,B,"2,433,907","2,425,948","2,265,097","2,228,173",2295401,813305,"-1,482,096",-64.60%,246
Grand St (L),36047,B,"2,242,757","2,174,128","2,256,349","2,126,443",1847219,809406,"-1,037,813",-56.20%,247
Grant Av (A),36047,B,"2,084,651","2,170,567","1,950,109","1,842,974",1749932,802190,"-947,742",-54.20%,252
Greenpoint Av (G),36047,B,"2,902,723","2,951,454","2,934,770","2,859,047",3089912,1296681,"-1,793,231",-58.00%,156
Halsey St (J),36047,B,"2,083,683","2,101,350","2,131,177","2,059,030",2120521,871012,"-1,249,509",-58.90%,233
Halsey St (L),36047,B,"2,465,693","2,629,576","2,776,078","2,625,255",2176141,1005045,"-1,171,096",-53.80%,204
"Hewes St (J,M)",36047,B,"981,379","913,179","894,671","893,262",1117566,468382,"-649,184",-58.10%,352
